AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
1,-0.3935668703783392,1.609401919592671,3,10.0,12.0,6.0,AG_205_07944032,Cc1ccc(NC2OC(CO)C(O)C(O)C2O)cc1NC1OC(CO)C(O)C(O)C1O,5
5,-0.3406289165132589,1.0542556164638737,5,4.0,18.0,26.0,AG_205_33649034,CCCCN(CCCC)c1nc(N/N=C/c2ccc(/C=N/Nc3nc(Nc4ccc([N+](=O)[O-])cc4)nc(N(CCCC)CCCC)n3)cc2)nc(Nc2ccc([N+](=O)[O-])cc2)n1,6
0,-0.4495116823236564,3.5702761219858363,0,2.0,5.0,2.0,AB_131_42301338,CCOC(=O)NC(=O)NC(=O)OCC,7
0,-0.4812197265705161,3.379510761201492,0,3.0,4.0,4.0,AK_968_11698879,N#CCC(=O)NNC(=O)CCC(=O)O,7
1,-0.5071285069167044,3.716051922501166,1,3.0,3.0,3.0,4157_2387,CCc1cc(C(O)(C(F)(F)F)C(F)(F)F)c(O)c(C(O)(C(F)(F)F)C(F)(F)F)c1,7
0,-0.3338636731473474,3.504127576227579,1,1.0,3.0,2.0,8019_1427,CC(=O)NC(C1C(=O)CC(C)(C)CC1=O)(C(F)(F)F)C(F)(F)F,7
1,-0.4775834802722613,3.2456574745999927,1,3.0,4.0,5.0,AG_389_33008013,CC(C)OC(=O)NC(Nc1ccccc1C(=O)O)(C(F)(F)F)C(F)(F)F,7
0,-0.3116263658981977,3.3748568465540867,1,2.0,2.0,0.0,AG_389_41780585,CC1=C(C#N)C(C(F)(F)F)(C(F)(F)F)NC(=O)N1,7
0,-0.3477093514940542,4.517765123980503,0,2.0,4.0,5.0,Z415078048,CNC(=O)NC(=O)CN(CC(=O)N(C)C)CC(F)(F)F,7
0,-0.3792118526726137,4.855802946857109,0,3.0,3.0,6.0,Z2271502705,CC(C)C[C@H](NC(=O)C(C)(C)C)C(=O)NCC(C)(O)C(F)(F)F,7
